wavelength	transmission	transmission
nm	%	%
	NaCl, not irradiated	NaCl, irradiated with X-rays
1100	86.724	72.188
1099.9	86.574	72.426
1099.8	86.657	72.101
1099.7	86.751	72.135
1099.6	86.721999	72.125
1099.5	86.472	72.209999
1099.4	86.706999	72.119
1099.3	86.384	72.11
1099.2	86.653	72.233999
1099.1	86.692	72.104
1099	86.632	72.074
1098.9	86.619	72.196
1098.8	86.692	72.173
1098.7	86.406	72.045
1098.6	86.685999	72.239
1098.5	86.587	72.145
1098.4	86.52	72.206999
1098.3	86.743	72.185
1098.2	86.665	72.167
1098.1	86.577	72.218999
1098	86.646999	72.239
1097.9	86.697999	72.178
1097.8	86.563	72.166
1097.7	86.447	72.151
1097.6	86.672	72.143
1097.5	86.661999	72.133
1097.4	86.456	72.08
1097.3	86.571	72.013
1097.2	86.641	72.099999
1097.1	86.574	72.145
1097	86.767	72.143999
1096.9	86.749	72.057999
1096.8	86.634	72.018
1096.7	86.563	71.950999
1096.6	86.53	72.119999
1096.5	86.45	72.099
1096.4	86.375999	72.05
1096.3	86.546	72.036999
1096.2	86.652	71.986
1096.1	86.572	72.053
1096	86.55	72.092
1095.9	86.595999	72.096999
1095.8	86.658	72.165
1095.7	86.798	72.131
1095.6	86.846	72.189
1095.5	86.649	72.142
1095.4	86.539999	71.984
1095.3	86.58	71.986
1095.2	86.665	71.945
1095.1	86.536999	71.943
1095	86.53	72.007
1094.9	86.682999	72.07
1094.8	86.487	72.026
1094.7	86.624	72.016
1094.6	86.597	72.060999
1094.5	86.565	71.944
1094.4	86.841	72.008
1094.3	86.812	72.124
1094.2	86.55	71.911
1094.1	86.572999	72.008
1094	86.678	71.879
1093.9	86.452	71.806
1093.8	86.79	71.938
1093.7	86.515	72.113
1093.6	86.562	71.973
1093.5	86.405	71.860999
1093.4	86.889	72.02
1093.3	86.582	72.043
1093.2	86.509	71.862
1093.1	86.394	71.874
1093	86.559	71.913
1092.9	86.578999	72.015
1092.8	86.585	71.992999
1092.7	86.763	71.923999
1092.6	86.696	72.026
1092.5	86.532	71.931
1092.4	86.48	71.887999
1092.3	86.555	71.909
1092.2	86.871	71.827
1092.1	86.809	71.91
1092	86.687	71.745
1091.9	86.708	71.898
1091.8	86.637	72.042
1091.7	86.661	72.084999
1091.6	86.728	72.047
1091.5	86.736999	71.992
1091.4	86.717999	71.992
1091.3	86.534	71.92
1091.2	86.571	71.989
1091.1	86.685999	71.913
1091	86.585	71.857
1090.9	86.468	71.997
1090.8	86.432	71.97
1090.7	86.426999	71.961
1090.6	86.524	71.950999
1090.5	86.673999	71.834
1090.4	86.68	71.965999
1090.3	86.66	71.974
1090.2	86.559	71.863999
1090.1	86.484	72.09
1090	86.688	72.019
1089.9	86.703	71.94
1089.8	86.523	71.937
1089.7	86.59	71.938999
1089.6	86.677	71.895
1089.5	86.632	71.906
1089.4	86.663	71.907
1089.3	86.554	71.902
1089.2	86.699	71.965999
1089.1	86.492999	71.908
1089	86.456999	71.922
1088.9	86.59	71.792999
1088.8	86.491	71.796
1088.7	86.445	71.873
1088.6	86.575	71.858999
1088.5	86.863	71.674
1088.4	86.475	71.819
1088.3	86.523	71.895
1088.2	86.452	71.789999
1088.1	86.545	71.879
1088	86.601	71.782
1087.9	86.456999	71.694999
1087.8	86.495	71.745
1087.7	86.509	71.961
1087.6	86.529	71.799
1087.5	86.506	71.751
1087.4	86.363999	71.822
1087.3	86.595	71.772
1087.2	86.447	71.871
1087.1	86.429999	71.818
1087	86.417	71.801
1086.9	86.45	71.813
1086.8	86.319	71.815
1086.7	86.473999	71.898
1086.6	86.611	71.797
1086.5	86.717999	71.733999
1086.4	86.693	71.763
1086.3	86.684	71.887
1086.2	86.656	71.879
1086.1	86.733999	71.711
1086	86.685999	71.765999
1085.9	86.562	71.73
1085.8	86.539999	71.667
1085.7	86.504	71.69
1085.6	86.575999	71.791
1085.5	86.53	71.774
1085.4	86.527	71.741
1085.3	86.465999	71.730999
1085.2	86.446	71.77
1085.1	86.587	71.77
1085	86.512	71.785
1084.9	86.536	71.788
1084.8	86.697	71.676
1084.7	86.64	71.739
1084.6	86.575	71.679999
1084.5	86.527	71.745
1084.4	86.58	71.958
1084.3	86.485999	71.813999
1084.2	86.692	71.783
1084.1	86.521	71.706
1084	86.623	71.726
1083.9	86.607999	71.714
1083.8	86.436	71.789999
1083.7	86.502	71.685
1083.6	86.518	71.685
1083.5	86.506	71.61
1083.4	86.414	71.564
1083.3	86.497999	71.69
1083.2	86.611	71.718999
1083.1	86.699	71.677
1083	86.358999	71.535
1082.9	86.69	71.667999
1082.8	86.752	71.705
1082.7	86.735	71.835
1082.6	86.846	71.63
1082.5	86.568	71.631999
1082.4	86.648	71.7
1082.3	86.462999	71.663
1082.2	86.595	71.696
1082.1	86.675	71.8
1082	86.560999	71.665
1081.9	86.57	71.598
1081.8	86.548	71.765999
1081.7	86.631	71.745
1081.6	86.534	71.686
1081.5	86.527	71.618
1081.4	86.483	71.645
1081.3	86.491	71.629
1081.2	86.456	71.52
1081.1	86.536	71.452
1081	86.492999	71.538
1080.9	86.487	71.559
1080.8	86.471	71.567
1080.7	86.536	71.579
1080.6	86.614	71.569999
1080.5	86.623	71.58
1080.4	86.334999	71.625
1080.3	86.414999	71.651
1080.2	86.587999	71.608
1080.1	86.594	71.628
1080	86.57	71.604
1079.9	86.527	71.53
1079.8	86.548999	71.468
1079.7	86.551999	71.536999
1079.6	86.523	71.72
1079.5	86.492999	71.625
1079.4	86.432	71.589
1079.3	86.543	71.622
1079.2	86.749	71.596
1079.1	86.543	71.533
1079	86.488	71.54
1078.9	86.462999	71.633
1078.8	86.421	71.501
1078.7	86.571	71.513
1078.6	86.602	71.566
1078.5	86.617	71.604999
1078.4	86.506	71.631999
1078.3	86.563999	71.583
1078.2	86.689	71.586
1078.1	86.577	71.658999
1078	86.611999	71.586
1077.9	86.599999	71.580999
1077.8	86.480999	71.614999
1077.7	86.443	71.556
1077.6	86.536999	71.643999
1077.5	86.514	71.477999
1077.4	86.653	71.499
1077.3	86.477999	71.519
1077.2	86.461	71.619999
1077.1	86.426	71.476
1077	86.390999	71.505
1076.9	86.452	71.504
1076.8	86.606	71.592999
1076.7	86.517	71.718
1076.6	86.492999	71.539
1076.5	86.551999	71.414999
1076.4	86.545	71.574
1076.3	86.56	71.560999
1076.2	86.632	71.595
1076.1	86.604	71.627
1076	86.518	71.566
1075.9	86.597	71.532
1075.8	86.548	71.453999
1075.7	86.578	71.441
1075.6	86.433	71.458
1075.5	86.395	71.448
1075.4	86.414	71.453999
1075.3	86.505	71.426999
1075.2	86.473999	71.477999
1075.1	86.5	71.516
1075	86.521	71.55
1074.9	86.536	71.509
1074.8	86.502	71.486
1074.7	86.479	71.527
1074.6	86.472	71.503
1074.5	86.458	71.479
1074.4	86.462999	71.48
1074.3	86.578	71.492999
1074.2	86.497999	71.484
1074.1	86.597	71.486999
1074	86.606	71.47
1073.9	86.646	71.464
1073.8	86.556	71.413
1073.7	86.488	71.348999
1073.6	86.572	71.413
1073.5	86.616	71.455
1073.4	86.634	71.433
1073.3	86.512	71.458
1073.2	86.526	71.465
1073.1	86.592	71.480999
