ultramarin1000,
X,Y
792574.6649460121,0.014326536643026003
792575.8756083068,0.0127094414893617
792576.6381631893,0.012972191116088093
792578.1045187615,0.01394281914893617
792579.200854459,0.01394281914893617
792580.2955239927,0.014647606382978724
792582.3240782656,0.01781914893617021
792582.3557097983,0.013688827843100654
792583.9095996177,0.01626861702127659
792585.7630400885,0.020638297872340422
792587.2683356596,0.023210771276595737
792589.1924353549,0.027688127955082735
792590.9549608697,0.03143058271624252
792593.5513220789,0.0389656449902656
792596.7405402709,0.04919725031494959
792599.6924812584,0.058349627064720154
792603.2758682354,0.0703740646050009
792606.4082232723,0.08034703428932854
792609.1911600255,0.08873071436021217
792612.2610262486,0.09841946072942052
792614.9425182265,0.10634173069345941
792617.7674276641,0.11491631878115184
792621.0045373688,0.12536575324418678
792623.8164956468,0.13388143444434508
792627.287968387,0.145396842714316
792630.4172581566,0.1553558703755547
792633.7863495032,0.16640560843598354
792637.0700830019,0.17706710596239236
792640.3086355905,0.18752310322048074
792644.0499482622,0.20026584795254307
792647.5242384144,0.2117940709032009
792651.1422616512,0.22397604756098047
792654.9723090619,0.23712239223542414
792658.8697679323,0.2508297666060299
792662.6238698183,0.2633762653530991
792665.7857957345,0.2734837348433121
792669.4449764973,0.2858529118611224
792672.7765040715,0.296731795343575
792675.8715298737,0.30653497721818757
792675.5665962476,0.30194237588652484
