Task 6,
X,Y
791864.8038155346,0.37221053698074974
791874.9565333795,0.3724371833839919
791890.4409854008,0.37275937183383995
791903.1245472226,0.3726117021276596
791912.9404440367,0.3728936170212766
791918.5604831724,0.3725177304964539
791924.0918370159,0.3728533434650456
791934.6245196623,0.37339479905437356
791941.2753949005,0.37302786220871326
791946.9423850733,0.3730547112462006
791951.0803364726,0.37321580547112465
791960.6942394916,0.3732372847011145
791969.2645774604,0.3731406281661601
791975.6516646455,0.37345542046605873
791980.8446855757,0.37383333333333335
791984.8412621856,0.3742539682539683
791990.1128202907,0.37383333333333335
791994.4401408727,0.3741465721040189
791998.2386536634,0.37335900033772373
792000.1300848859,0.37437031408308
792002.7056101075,0.3743792637622425
792006.1486861584,0.37446876055386696
792008.9238054553,0.37412867274569406
792011.1364513284,0.3745582573454914
792013.1942631147,0.3748374873353597
792015.2462321054,0.3744777102330294
792017.3860517032,0.37546038500506584
792019.4827806825,0.37548454913880447
792021.2006669606,0.3754979736575481
792023.2133014158,0.3750952380952381
792025.6271063987,0.3760725430597771
792027.7404247444,0.3756501182033097
792029.8438312046,0.3760260047281324
792032.2445942328,0.3760081053698075
792034.3142220301,0.376094246031746
792036.4107162543,0.3764108409321175
792038.5803758445,0.3773550320837555
792040.5737082066,0.37678672745694025
792042.817735921,0.3783688318511014
792044.6399810227,0.3772163120567376
792046.8536702521,0.3776548463356974
792048.9454693726,0.3779311676798379
792050.9961428624,0.3778547225036587
792053.1772876533,0.37889743115528324
792055.2579058852,0.3790778453225262
792057.333325845,0.3792136698651092
792059.3895101999,0.37918449566587864
792061.4884823954,0.37952234605426094
792063.5391413942,0.37944577657698225
792065.6116529127,0.37926220871327254
792068.1295326945,0.3798072441742655
792068.4647109312,0.34219621749408985
792070.5776119344,0.3417702127659575
792072.3738542765,0.34186686930091187
792074.5096047844,0.3419313069908815
792076.7478128888,0.3422857142857143
792078.8502401991,0.3420643129919726
792080.8229194555,0.3422021839468648
792082.9915704678,0.3431377237419791
792085.1732435615,0.34418496405654464
792087.3025563852,0.34478306961082306
792089.4547738783,0.34557764632956994
792091.6967475694,0.34714213176781566
792093.9288799494,0.34862220062751087
792096.1881192421,0.35033478656113437
792098.4046880488,0.3516813545466373
792100.7175644946,0.3528024407589323
792102.8360067505,0.3543588882992125
792105.0292755691,0.3555055941666617
792107.1924144961,0.35639385251736627
792109.3428342196,0.35717300836804383
792111.4913680863,0.35793598775829855
792113.650245107,0.35878768842446357
792115.7737717635,0.35933616152279835
792117.9184530718,0.36006609452291555
792120.0711487443,0.3608647729580406
792122.174262826,0.3612381515253856
792124.3068380868,0.36186424153979957
792126.3884406149,0.36205309878088354
792128.550730222,0.36293407185569265
792130.6264212497,0.36307222156001884
792132.6191603309,0.3624988278999543
792134.7894413319,0.3634483493752111
792136.8452446572,0.3634159067882472
792139.0074227684,0.3642959234757733
792140.9967596894,0.36369334684228305
792143.1276412009,0.3643049082517168
792145.1785320566,0.3642303275920297
792147.2669241216,0.3644774239719529
792149.3738680567,0.3648836541708882
792151.5215426375,0.3656392627973175
792153.4867789029,0.36482995609591357
792155.6225294108,0.36548328267477204
792157.6181250537,0.36522883641181514
792159.8198477881,0.3658591691995947
792161.8138061641,0.3655906788247214
792163.6284115785,0.3664337386018237
792165.8237377356,0.3655369807497467
792168.0603808054,0.36617240797028033
792170.0980558136,0.365984464707869
792171.5191072018,0.36639614994934144
792174.7988979794,0.36655724417426544
792178.2753614343,0.3669331306990882
792181.5066361403,0.36667806484295845
792184.3166557081,0.3664901215805471
792187.360908783,0.3668391590678825
792191.1430756571,0.36689285714285713
792194.91115722,0.3668257345491388
792197.5378069042,0.3672732185072611
792199.907269241,0.36698682877406286
792204.6039379813,0.36752380952380953
792209.381466841,0.3672821681864235
792213.3696965998,0.36763120567375884
792216.3544734396,0.3682061803444782
792219.6173145975,0.36822188449848026
792225.1053691512,0.3681860857818305
792230.9825956344,0.36854407294832825
792235.9161062727,0.3681681864235056
792239.8699052711,0.36822188449848026
792243.6917196875,0.36861567038162785
792251.4075861851,0.3685506585612968
792259.1740849961,0.368919959473151
792266.176571334,0.3686246200607903
792271.8873824747,0.3690273556231003
792282.6986412744,0.36901393110435665
792295.6539974329,0.369725430597771
792306.4042198844,0.36918844984802435
792316.2331586531,0.3695822357311719
792328.7899526749,0.3698194022289767
792350.9107772808,0.3696502532928065
792370.6838413626,0.3699536474164134
792389.5665051105,0.36998049645390074
792407.0933272438,0.3701550151975684
