"6,000","10,000","2,000","0,000","6,000","10,000","4,000","20,000","2,000","10,000","4,000","10,000","8,000","10,000","2,000","0,000","4,000","10,000","8,000","0,000"
"8,000","10,000","4,000","10,000","2,000","10,000","4,000","30,000","8,000","10,000","2,000","0,000","6,000","20,000","4,000","10,000","8,000","10,000","6,000","20,000"
"0,000","10,000","6,000","20,000","8,000","10,000","4,000","0,000","6,000","10,000","2,000","10,000","0,000","0,000","8,000","0,000","2,000","10,000","2,000","10,000"
"2,000","0,000","8,000","10,000","4,000","20,000","4,000","10,000","8,000","0,000","10,000","10,000","8,000","0,000","4,000","20,000","8,000","20,000","8,000","10,000"
"4,000","10,000","10,000","0,000","2,000","0,000","2,000","10,000","4,000","0,000","-2,000","0,000","4,000","10,000","2,000","10,000","8,000","10,000","8,000","10,000"
"4,000","20,000","4,000","10,000","10,000","10,000","8,000","10,000","4,000","10,000","8,000","10,000","4,000","10,000","8,000","10,000","6,000","10,000","6,000","10,000"
"2,000","0,000","8,000","20,000","4,000","20,000","0,000","0,000","8,000","10,000","6,000","20,000","4,000","10,000","6,000","0,000","0,000","0,000","0,000","0,000"
"6,000","-10,000","2,000","-10,000","-2,000","0,000","4,000","20,000","6,000","10,000","6,000","20,000","8,000","10,000","6,000","10,000","6,000","0,000","6,000","20,000"
"2,000","10,000","2,000","10,000","2,000","0,000","4,000","10,000","0,000","0,000","0,000","20,000","2,000","0,000","0,000","10,000","4,000","-10,000","4,000","30,000"
"0,000","10,000","6,000","0,000","0,000","10,000","4,000","-830,000","8,000","10,000","-2,000","-140,000","2,000","0,000","6,000","-850,000","-2,000","0,000","6,000","-330,000"
"4,000","-880,000","4,000","10,000","-2,000","-40,000","0,000","10,000","-4,000","-20,000","-2,000","0,000","6,000","-30,000","4,000","30,000","-2,000","0,000","2,000","-10,000"
"6,000","0,000","2,000","10,000","-2,000","10,000","4,000","20,000","2,000","20,000","2,000","20,000","2,000","30,000","4,000","30,000","6,000","30,000","2,000","10,000"
"4,000","10,000","4,000","10,000","0,000","30,000","0,000","10,000","4,000","10,000","2,000","20,000","6,000","10,000","0,000","20,000","2,000","20,000","-4,000","10,000"
"0,000","10,000","4,000","10,000","-2,000","10,000","6,000","30,000","6,000","20,000","4,000","-10,000","4,000","30,000","-2,000","10,000","-2,000","10,000","0,000","10,000"
"8,000","10,000","-2,000","10,000","4,000","10,000","-2,000","10,000","4,000","10,000","4,000","30,000","6,000","30,000","0,000","10,000","4,000","10,000","4,000","10,000"
"4,000","10,000","2,000","20,000","0,000","20,000","4,000","20,000","0,000","10,000","-2,000","0,000","2,000","0,000","0,000","20,000","2,000","10,000","4,000","10,000"
"2,000","0,000","6,000","20,000","4,000","10,000","2,000","0,000","-2,000","0,000","2,000","20,000","4,000","30,000","8,000","20,000","2,000","30,000","2,000","10,000"
"6,000","30,000","2,000","-30,000","0,000","10,000","-2,000","10,000","2,000","-10,000","-2,000","-90,000","2,000","0,000","4,000","-110,000","2,000","0,000","-4,000","-70,000"
"4,000","0,000","8,000","10,000","2,000","10,000","10,000","-10,000","6,000","20,000","-2,000","0,000","4,000","0,000","4,000","10,000","-4,000","0,000","8,000","10,000"
"10,000","20,000","8,000","20,000","8,000","20,000","2,000","0,000","4,000","0,000","4,000","10,000","8,000","10,000","6,000","0,000","10,000","30,000","2,000","0,000"
"8,000","-50,000","4,000","0,000","8,000","-10,000","4,000","10,000","8,000","-80,000","8,000","20,000","8,000","-110,000","8,000","20,000","4,000","-130,000","2,000","0,000"
"6,000","0,000","6,000","20,000","6,000","10,000","12,000","10,000","10,000","20,000","12,000","10,000","10,000","10,000","12,000","10,000","8,000","20,000","8,000","10,000"
"12,000","10,000","10,000","-30,000","6,000","10,000","6,000","-10,000","8,000","20,000","12,000","-90,000","4,000","0,000","10,000","-130,000","4,000","0,000","4,000","-90,000"
"6,000","0,000","14,000","20,000","8,000","0,000","14,000","20,000","4,000","0,000","14,000","0,000","10,000","10,000","16,000","10,000","10,000","0,000","10,000","10,000"
"8,000","20,000","2,000","0,000","2,000","10,000","8,000","-50,000","8,000","10,000","2,000","10,000","6,000","0,000","2,000","20,000","10,000","10,000","8,000","20,000"
"10,000","-80,000","8,000","20,000","4,000","-10,000","2,000","10,000","10,000","0,000","6,000","10,000","2,000","-70,000","4,000","10,000","12,000","-30,000","8,000","10,000"
"0,000","0,000","4,000","10,000","4,000","10,000","4,000","10,000","6,000","10,000","6,000","10,000","4,000","10,000","-2,000","10,000","2,000","0,000","2,000","10,000"
"4,000","10,000","-4,000","10,000","-4,000","-60,000","-2,000","20,000","2,000","-130,000","-4,000","0,000","-2,000","0,000","0,000","10,000","2,000","-70,000","0,000","0,000"
"-10,000","10,000","-6,000","20,000","-8,000","0,000","-6,000","30,000","-2,000","30,000","-12,000","0,000","-8,000","0,000","-12,000","0,000","-4,000","30,000","-4,000","30,000"
"-14,000","0,000","-14,000","-10,000","-10,000","-10,000","-12,000","20,000","-8,000","10,000","-8,000","-30,000","-16,000","20,000","-8,000","-30,000","-10,000","0,000","-16,000","-30,000"
"-14,000","10,000","-16,000","20,000","-14,000","20,000","-16,000","20,000","-10,000","30,000","-20,000","10,000","-14,000","0,000","-18,000","0,000","-10,000","20,000","-16,000","10,000"
"-24,000","10,000","-26,000","-60,000","-26,000","0,000","-24,000","-10,000","-24,000","0,000","-26,000","-120,000","-24,000","0,000","-20,000","-110,000","-18,000","30,000","-28,000","-100,000"
"-26,000","0,000","-32,000","0,000","-26,000","30,000","-30,000","0,000","-30,000","10,000","-28,000","-10,000","-26,000","20,000","-28,000","10,000","-24,000","20,000","-24,000","10,000"
