Angle, TimePerStep, Intensity
20.04,0.5,2
20.06,0.5,4
20.08,0.5,4
20.1,0.5,2
20.12,0.5,8
20.14,0.5,2
20.16,0.5,5
20.18,0.5,4
20.2,0.5,3
20.22,0.5,7
20.24,0.5,6
20.26,0.5,2
20.28,0.5,1
20.3,0.5,5
20.32,0.5,5
20.34,0.5,5
20.36,0.5,7
20.38,0.5,4
20.4,0.5,4
20.42,0.5,3
20.44,0.5,1
20.46,0.5,3
20.48,0.5,9
20.5,0.5,7
20.52,0.5,8
20.54,0.5,4
20.56,0.5,4
20.58,0.5,7
20.6,0.5,6
20.62,0.5,5
20.64,0.5,4
20.66,0.5,9
20.68,0.5,10
20.7,0.5,11
20.72,0.5,5
20.74,0.5,4
20.76,0.5,6
20.78,0.5,7
20.8,0.5,4
20.82,0.5,7
20.84,0.5,6
20.86,0.5,4
20.88,0.5,6
20.9,0.5,10
20.92,0.5,2
20.94,0.5,2
20.96,0.5,8
20.98,0.5,9
21,0.5,3
21.02,0.5,8
21.04,0.5,3
21.06,0.5,2
21.08,0.5,7
21.1,0.5,5
21.12,0.5,5
21.14,0.5,3
21.16,0.5,5
21.18,0.5,9
21.2,0.5,5
21.22,0.5,5
21.24,0.5,6
21.26,0.5,8
21.28,0.5,4
21.3,0.5,7
21.32,0.5,4
21.34,0.5,5
21.36,0.5,7
21.38,0.5,5
21.4,0.5,4
21.42,0.5,5
21.44,0.5,4
21.46,0.5,5
21.48,0.5,2
21.5,0.5,4
21.52,0.5,5
21.54,0.5,4
21.56,0.5,9
21.58,0.5,6
21.6,0.5,7
21.62,0.5,10
21.64,0.5,6
21.66,0.5,6
21.68,0.5,2
21.7,0.5,7
21.72,0.5,2
21.74,0.5,7
21.76,0.5,3
21.78,0.5,8
21.8,0.5,4
21.82,0.5,5
21.84,0.5,7
21.86,0.5,8
21.88,0.5,5
21.9,0.5,5
21.92,0.5,12
21.94,0.5,8
21.96,0.5,9
21.98,0.5,8
22,0.5,6
22.02,0.5,9
22.04,0.5,7
22.06,0.5,6
22.08,0.5,8
22.1,0.5,5
22.12,0.5,7
22.14,0.5,7
22.16,0.5,9
22.18,0.5,6
22.2,0.5,12
22.22,0.5,3
22.24,0.5,9
22.26,0.5,6
22.28,0.5,11
22.3,0.5,7
22.32,0.5,7
22.34,0.5,11
22.36,0.5,7
22.38,0.5,5
22.4,0.5,5
22.42,0.5,11
22.44,0.5,8
22.46,0.5,7
22.48,0.5,9
22.5,0.5,14
22.52,0.5,9
22.54,0.5,9
22.56,0.5,6
22.58,0.5,4
22.6,0.5,12
22.62,0.5,12
