Angle, TimePerStep, Intensity
10.02,0.5,12
10.04,0.5,20
10.06,0.5,15
10.08,0.5,12
10.1,0.5,11
10.12,0.5,15
10.14,0.5,9
10.16,0.5,13
10.18,0.5,15
10.2,0.5,14
10.22,0.5,17
10.24,0.5,14
10.26,0.5,10
10.28,0.5,15
10.3,0.5,12
10.32,0.5,16
10.34,0.5,9
10.36,0.5,13
10.38,0.5,11
10.4,0.5,14
10.42,0.5,18
10.44,0.5,8
10.46,0.5,11
10.48,0.5,14
10.5,0.5,9
10.52,0.5,14
10.54,0.5,17
10.56,0.5,14
10.58,0.5,15
10.6,0.5,16
10.62,0.5,11
10.64,0.5,10
10.66,0.5,9
10.68,0.5,15
10.7,0.5,15
10.72,0.5,26
10.74,0.5,12
10.76,0.5,16
10.78,0.5,17
10.8,0.5,16
10.82,0.5,15
10.84,0.5,16
10.86,0.5,8
10.88,0.5,15
10.9,0.5,15
10.92,0.5,14
10.94,0.5,12
10.96,0.5,13
10.98,0.5,23
11,0.5,13
11.02,0.5,15
11.04,0.5,21
11.06,0.5,8
11.08,0.5,20
11.1,0.5,18
11.12,0.5,16
11.14,0.5,21
11.16,0.5,13
11.18,0.5,15
11.2,0.5,16
11.22,0.5,13
11.24,0.5,14
11.26,0.5,13
11.28,0.5,11
11.3,0.5,10
11.32,0.5,11
11.34,0.5,16
11.36,0.5,18
11.38,0.5,10
11.4,0.5,14
11.42,0.5,13
11.44,0.5,8
11.46,0.5,11
11.48,0.5,22
11.5,0.5,13
11.52,0.5,11
11.54,0.5,9
11.56,0.5,17
11.58,0.5,13
11.6,0.5,15
11.62,0.5,15
11.64,0.5,11
11.66,0.5,17
11.68,0.5,14
11.7,0.5,25
11.72,0.5,8
11.74,0.5,10
11.76,0.5,19
11.78,0.5,20
11.8,0.5,10
11.82,0.5,17
11.84,0.5,12
11.86,0.5,7
11.88,0.5,15
11.9,0.5,14
11.92,0.5,22
11.94,0.5,17
11.96,0.5,17
11.98,0.5,14
12,0.5,11
12.02,0.5,14
12.04,0.5,14
12.06,0.5,17
12.08,0.5,10
12.1,0.5,10
12.12,0.5,13
12.14,0.5,15
12.16,0.5,12
12.18,0.5,16
12.2,0.5,12
12.22,0.5,12
12.24,0.5,14
12.26,0.5,13
12.28,0.5,15
12.3,0.5,15
12.32,0.5,10
12.34,0.5,9
12.36,0.5,13
12.38,0.5,5
12.4,0.5,8
12.42,0.5,8
12.44,0.5,9
12.46,0.5,12
12.48,0.5,10
12.5,0.5,12
12.52,0.5,17
12.54,0.5,12
12.56,0.5,14
12.58,0.5,16
12.6,0.5,13
12.62,0.5,17
12.64,0.5,16
12.66,0.5,11
12.68,0.5,11
12.7,0.5,11
12.72,0.5,9
12.74,0.5,5
12.76,0.5,6
12.78,0.5,20
12.8,0.5,18
12.82,0.5,13
12.84,0.5,15
12.86,0.5,14
12.88,0.5,10
12.9,0.5,10
12.92,0.5,10
12.94,0.5,18
12.96,0.5,12
12.98,0.5,11
13,0.5,13
13.02,0.5,10
13.04,0.5,12
13.06,0.5,12
13.08,0.5,9
13.1,0.5,11
13.12,0.5,9
13.14,0.5,12
13.16,0.5,14
13.18,0.5,11
13.2,0.5,11
13.22,0.5,9
13.24,0.5,14
13.26,0.5,13
13.28,0.5,16
13.3,0.5,10
13.32,0.5,10
13.34,0.5,20
13.36,0.5,12
13.38,0.5,11
13.4,0.5,12
13.42,0.5,6
13.44,0.5,10
13.46,0.5,14
13.48,0.5,14
13.5,0.5,15
13.52,0.5,6
13.54,0.5,18
13.56,0.5,11
13.58,0.5,8
13.6,0.5,9
13.62,0.5,17
13.64,0.5,12
13.66,0.5,13
13.68,0.5,13
13.7,0.5,18
13.72,0.5,9
13.74,0.5,13
13.76,0.5,18
13.78,0.5,12
13.8,0.5,8
13.82,0.5,7
13.84,0.5,12
13.86,0.5,11
13.88,0.5,17
13.9,0.5,17
13.92,0.5,18
13.94,0.5,11
13.96,0.5,9
13.98,0.5,10
14,0.5,9
14.02,0.5,14
14.04,0.5,11
14.06,0.5,11
14.08,0.5,9
14.1,0.5,16
14.12,0.5,13
14.14,0.5,8
14.16,0.5,8
14.18,0.5,9
14.2,0.5,8
14.22,0.5,10
14.24,0.5,13
14.26,0.5,8
14.28,0.5,10
14.3,0.5,8
14.32,0.5,12
14.34,0.5,11
14.36,0.5,9
14.38,0.5,10
14.4,0.5,11
14.42,0.5,7
14.44,0.5,8
14.46,0.5,11
14.48,0.5,11
14.5,0.5,9
14.52,0.5,10
14.54,0.5,8
14.56,0.5,6
14.58,0.5,9
14.6,0.5,11
14.62,0.5,7
14.64,0.5,13
14.66,0.5,14
14.68,0.5,13
14.7,0.5,11
14.72,0.5,11
14.74,0.5,8
14.76,0.5,9
14.78,0.5,4
14.8,0.5,2
14.82,0.5,5
14.84,0.5,8
14.86,0.5,9
14.88,0.5,8
14.9,0.5,8
14.92,0.5,5
14.94,0.5,6
14.96,0.5,7
14.98,0.5,6
15,0.5,7
15.02,0.5,8
15.04,0.5,4
15.06,0.5,4
15.08,0.5,10
15.1,0.5,7
15.12,0.5,5
15.14,0.5,10
15.16,0.5,14
15.18,0.5,15
15.2,0.5,7
15.22,0.5,12
15.24,0.5,5
15.26,0.5,11
15.28,0.5,11
15.3,0.5,10
15.32,0.5,10
15.34,0.5,9
15.36,0.5,9
15.38,0.5,6
15.4,0.5,6
15.42,0.5,7
15.44,0.5,6
15.46,0.5,8
15.48,0.5,4
15.5,0.5,8
15.52,0.5,13
15.54,0.5,8
15.56,0.5,6
15.58,0.5,12
15.6,0.5,9
15.62,0.5,7
15.64,0.5,16
15.66,0.5,15
15.68,0.5,5
15.7,0.5,13
15.72,0.5,7
15.74,0.5,7
15.76,0.5,12
15.78,0.5,11
15.8,0.5,6
15.82,0.5,11
15.84,0.5,7
15.86,0.5,10
15.88,0.5,5
15.9,0.5,9
15.92,0.5,12
15.94,0.5,11
15.96,0.5,14
15.98,0.5,7
16,0.5,11
16.02,0.5,5
16.04,0.5,10
16.06,0.5,12
16.08,0.5,13
16.1,0.5,8
16.12,0.5,8
16.14,0.5,5
16.16,0.5,11
16.18,0.5,8
16.2,0.5,9
16.22,0.5,13
16.24,0.5,6
16.26,0.5,14
16.28,0.5,6
16.3,0.5,10
16.32,0.5,7
16.34,0.5,10
16.36,0.5,12
16.38,0.5,14
16.4,0.5,12
16.42,0.5,10
16.44,0.5,10
16.46,0.5,6
16.48,0.5,7
16.5,0.5,7
16.52,0.5,5
16.54,0.5,5
16.56,0.5,7
16.58,0.5,7
16.6,0.5,12
16.62,0.5,8
16.64,0.5,5
16.66,0.5,8
16.68,0.5,8
16.7,0.5,9
16.72,0.5,10
16.74,0.5,6
16.76,0.5,6
16.78,0.5,4
16.8,0.5,5
16.82,0.5,3
16.84,0.5,6
16.86,0.5,6
16.88,0.5,9
16.9,0.5,6
16.92,0.5,10
16.94,0.5,10
16.96,0.5,6
16.98,0.5,8
17,0.5,10
17.02,0.5,8
17.04,0.5,3
17.06,0.5,10
17.08,0.5,7
17.1,0.5,6
17.12,0.5,15
17.14,0.5,7
17.16,0.5,9
17.18,0.5,3
17.2,0.5,9
17.22,0.5,7
17.24,0.5,5
17.26,0.5,5
17.28,0.5,4
17.3,0.5,9
17.32,0.5,10
17.34,0.5,9
17.36,0.5,7
17.38,0.5,6
17.4,0.5,5
17.42,0.5,6
17.44,0.5,7
17.46,0.5,7
17.48,0.5,9
17.5,0.5,4
17.52,0.5,7
17.54,0.5,8
17.56,0.5,6
17.58,0.5,10
17.6,0.5,9
17.62,0.5,7
17.64,0.5,9
17.66,0.5,10
17.68,0.5,6
17.7,0.5,4
17.72,0.5,9
17.74,0.5,4
17.76,0.5,2
17.78,0.5,11
17.8,0.5,7
17.82,0.5,6
17.84,0.5,4
17.86,0.5,7
17.88,0.5,9
17.9,0.5,9
17.92,0.5,11
17.94,0.5,7
17.96,0.5,8
17.98,0.5,11
18,0.5,5
18.02,0.5,13
18.04,0.5,12
18.06,0.5,6
18.08,0.5,8
18.1,0.5,8
18.12,0.5,7
18.14,0.5,7
18.16,0.5,2
18.18,0.5,14
18.2,0.5,6
18.22,0.5,3
18.24,0.5,8
18.26,0.5,6
18.28,0.5,7
18.3,0.5,5
18.32,0.5,3
18.34,0.5,8
18.36,0.5,2
18.38,0.5,6
18.4,0.5,3
18.42,0.5,4
18.44,0.5,6
18.46,0.5,4
18.48,0.5,7
18.5,0.5,8
18.52,0.5,6
18.54,0.5,3
18.56,0.5,7
18.58,0.5,5
18.6,0.5,4
18.62,0.5,6
18.64,0.5,5
18.66,0.5,5
18.68,0.5,8
18.7,0.5,3
18.72,0.5,7
18.74,0.5,7
18.76,0.5,6
18.78,0.5,6
18.8,0.5,4
18.82,0.5,4
18.84,0.5,4
18.86,0.5,3
18.88,0.5,2
18.9,0.5,4
18.92,0.5,6
18.94,0.5,7
18.96,0.5,3
18.98,0.5,2
19,0.5,6
19.02,0.5,4
19.04,0.5,3
19.06,0.5,3
19.08,0.5,7
19.1,0.5,7
19.12,0.5,9
19.14,0.5,5
19.16,0.5,4
19.18,0.5,8
19.2,0.5,7
19.22,0.5,7
19.24,0.5,7
19.26,0.5,6
19.28,0.5,4
19.3,0.5,6
19.32,0.5,8
19.34,0.5,3
19.36,0.5,5
19.38,0.5,7
19.4,0.5,3
19.42,0.5,6
19.44,0.5,10
19.46,0.5,3
19.48,0.5,3
19.5,0.5,6
19.52,0.5,9
19.54,0.5,6
19.56,0.5,9
19.58,0.5,2
19.6,0.5,2
19.62,0.5,5
19.64,0.5,2
19.66,0.5,11
19.68,0.5,8
19.7,0.5,8
19.72,0.5,5
19.74,0.5,1
19.76,0.5,2
19.78,0.5,3
19.8,0.5,4
19.82,0.5,5
19.84,0.5,5
19.86,0.5,4
19.88,0.5,5
19.9,0.5,5
19.92,0.5,5
19.94,0.5,4
19.96,0.5,8
19.98,0.5,3
20,0.5,9
20.02,0.5,8
20.04,0.5,4
20.06,0.5,7
20.08,0.5,9
20.1,0.5,3
20.12,0.5,7
20.14,0.5,5
20.16,0.5,5
20.18,0.5,7
20.2,0.5,4
20.22,0.5,7
20.24,0.5,6
20.26,0.5,3
20.28,0.5,8
20.3,0.5,4
20.32,0.5,8
20.34,0.5,5
20.36,0.5,5
